health_region_code,year,measure_type,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
13009,2015,residence,6401,100,161,206,4,15.6225589751601,25.1523199500078,32.1824714888299,62.4902359006405
14001,2000,occurrence,8904,84,154,209,6,9.43396226415094,17.2955974842767,23.4725965858041,67.3854447439353
14001,2000,residence,8504,94,164,219,6,11.0536218250235,19.2850423330198,25.7525870178739,70.555032925682
14001,2005,occurrence,9056,89,165,213,5,9.82773851590106,18.219964664311,23.5203180212014,55.2120141342756
14001,2005,residence,8510,83,154,201,5,9.75323149236193,18.096357226792,23.6192714453584,58.7544065804935
14001,2010,occurrence,9333,69,123,151,1,7.39312118289939,13.1790421086467,16.1791492553305,10.7146683810136
14001,2010,residence,8463,64,114,141,1,7.56233014297531,13.4704005671748,16.6607585962425,11.8161408483989
14001,2015,occurrence,10701,101,168,186,10,9.43837024577142,15.699467339501,17.3815531258761,93.4492103541725
14001,2015,residence,9952,98,161,182,8,9.84726688102894,16.177652733119,18.2877813504823,80.3858520900322
14002,2000,occurrence,796,11,12,16,0,13.8190954773869,15.0753768844221,20.1005025125628,0
14002,2000,residence,1240,13,17,22,0,10.4838709677419,13.7096774193548,17.741935483871,0
14002,2005,occurrence,527,5,6,10,0,9.4876660341556,11.3851992409867,18.9753320683112,0
14002,2005,residence,1184,12,21,27,0,10.1351351351351,17.7364864864865,22.8040540540541,0
14002,2010,occurrence,391,4,4,7,0,10.230179028133,10.230179028133,17.9028132992327,0
14002,2010,residence,1275,9,12,17,0,7.05882352941176,9.41176470588235,13.3333333333333,0
14002,2015,occurrence,708,16,21,26,1,22.5988700564972,29.6610169491525,36.7231638418079,141.242937853107
14002,2015,residence,1457,22,30,36,2,15.0995195607413,20.5902539464653,24.7083047357584,137.268359643102
15001,2000,occurrence,7092,78,129,153,1,10.9983079526227,18.1895093062606,21.5736040609137,14.1003948110547
15001,2000,residence,6672,90,147,176,2,13.4892086330935,22.0323741007194,26.378896882494,29.9760191846523
15001,2005,occurrence,7439,98,139,155,5,13.173813684635,18.6853071649415,20.8361338889636,67.2133351256889
15001,2005,residence,7578,109,167,189,7,14.383742412246,22.0374769068356,24.9406175771972,92.3726576933228
15001,2010,occurrence,7407,65,102,130,2,8.77548265154583,13.7707573916565,17.5509653030917,27.0014850816795
15001,2010,residence,7501,74,114,144,2,9.86535128649513,15.1979736035195,19.1974403412878,26.663111585122
15001,2015,occurrence,7716,68,101,111,2,8.81285640228098,13.0896837739762,14.3856920684292,25.9201658890617
15001,2015,residence,7811,72,108,120,4,9.21776981180387,13.8266547177058,15.3629496863398,51.2098322877993
15002,2000,occurrence,14501,162,237,280,4,11.1716433349424,16.3437004344528,19.3090131715054,27.584304530722
15002,2000,residence,13654,163,243,293,4,11.9378936575363,17.7969825692105,21.4589131390069,29.2954445583712
15002,2005,occurrence,16381,223,309,360,5,13.6133325193822,18.8633172577987,21.976680300348,30.5231670838166
15002,2005,residence,16006,226,311,362,6,14.1197051105835,19.4302136698738,22.616518805448,37.4859427714607
